Date,Total cases,Cases in daegu,Cases in seoul
2020-02-01,0,0,0
2020-02-02,1,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,3,0,1
2020-02-06,1,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,1,0,0
2020-02-10,1,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,2,0,2
2020-02-17,0,0,0
2020-02-18,2,1,0
2020-02-19,34,26,2
2020-02-20,16,13,0
2020-02-21,74,47,4
2020-02-22,190,69,3
2020-02-23,209,141,3
2020-02-24,206,152,4
2020-02-25,129,60,6
2020-02-26,252,191,6
2020-02-27,447,345,9
2020-02-28,427,308,5
2020-02-29,909,753,11
2020-03-01,593,514,6
2020-03-02,684,533,8
2020-03-03,599,525,7
2020-03-04,516,402,1
2020-03-05,437,331,4
2020-03-06,518,367,3
2020-03-07,483,393,1
2020-03-08,366,296,10
2020-03-09,247,192,10
2020-03-10,131,91,11
2020-03-11,239,131,47
2020-03-12,112,68,19
2020-03-13,107,61,10
2020-03-14,102,63,9
2020-03-15,72,40,8
2020-03-16,70,34,5
2020-03-17,79,31,13
2020-03-18,80,44,4
2020-03-19,135,94,6
2020-03-20,73,34,12
2020-03-21,126,69,6
2020-03-22,77,45,7
2020-03-23,46,24,3
2020-03-24,46,31,1
2020-03-25,42,14,4
2020-03-26,56,27,4
2020-03-27,57,33,3
2020-03-28,90,70,3
2020-03-29,38,23,6
2020-03-30,35,13,7
2020-03-31,88,59,15
2020-04-01,56,19,10
2020-04-02,43,20,2
2020-04-03,37,8,5
2020-04-04,53,24,6
2020-04-05,31,6,10
2020-04-06,25,12,3
2020-04-07,23,12,1
2020-04-08,23,9,4
2020-04-09,13,4,3
2020-04-10,17,0,3
2020-04-11,16,6,1
2020-04-12,9,1,2
2020-04-13,10,3,1
2020-04-14,11,2,0
2020-04-15,13,0,1
2020-04-16,11,4,1
2020-04-17,7,0,1
2020-04-18,9,3,0
2020-04-19,2,1,0
2020-04-20,6,1,0
2020-04-21,4,2,1
2020-04-22,5,1,0
2020-04-23,4,3,0
2020-04-24,4,3,0
2020-04-25,5,2,0
2020-04-26,1,1,0
2020-04-27,3,1,0
2020-04-28,2,0,0
2020-04-29,4,2,0
2020-04-30,0,0,0
2020-05-01,1,0,0
2020-05-02,0,0,0
2020-05-03,3,2,0
2020-05-04,0,0,0
2020-05-05,0,0,0
2020-05-06,0,0,0
2020-05-07,1,0,0
2020-05-08,1,0,0
2020-05-09,17,0,12
2020-05-10,26,2,12
2020-05-11,29,0,21
2020-05-12,22,1,12
2020-05-13,22,2,12
2020-05-14,26,0,3
2020-05-15,22,3,11
2020-05-16,9,1,5
2020-05-17,6,1,4
2020-05-18,5,1,0
2020-05-19,9,0,6
2020-05-20,24,1,6
2020-05-21,10,0,2
2020-05-22,11,0,1
2020-05-23,19,1,4
2020-05-24,17,0,3
2020-05-25,13,1,6
2020-05-26,16,1,8
